Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"GE Vernova T&D India Ltd","Heavy Electrical Equipments","44795.34","247.42","69.19","36.04","14.04","126.24","86.42","0.11","12251.01","7.07"
"Honeywell Automation India Ltd","Electronic Equipments","44752.92","89.26","12.89","12.41","10.65","56.93","102.01","0.20","14.47","567.10"
"Premier Energies Ltd","Renewable Energy","44631.98","192.92","18.92","67.64","14.07","90.09","495.09","-","2113.78","7.77"
"GlaxoSmithKline Pharmaceuticals Ltd","Pharmaceuticals","44562.26","75.53","35.12","25.07","12.39","48.11","76.56","1.22","-3.39","34.83"
"KPIT Technologies Ltd","IT Services & Consulting","44376.77","74.64","18.99","20.52","9.00","41.73","44.30","0.41","55.71","21.96"
"SJVN Ltd","Renewable Energy","43958.69","48.23","-13.55","3.12","14.51","27.23","33.57","1.61","-32.95","2.32"
"Nippon Life India Asset Management Ltd","Asset Management","43699.06","39.46","22.65","10.97","21.45","31.43","56.21","2.38","52.11","17.67"
"Max Financial Services Ltd","Insurance","43516.24","127.95","20.12","9.96","0.93","104.39","7.13","-","-9.94","9.90"
"ACC Ltd","Cement","42379.83","18.14","-7.98","2.59","2.05","10.57","14.15","0.33","163.98","124.03"
"Tata Technologies Ltd","IT Services & Consulting","42191.56","62.10","-3.92","13.10","8.06","39.16","143.35","0.97","10.53","16.75"
"Adani Wilmar Ltd","FMCG - Foods","41362.27","279.51","-6.97","4.97","0.80","29.94","143.16","-","-74.58","1.14"
"APL Apollo Tubes Ltd","Building Products - Pipes","41265.13","56.34","-5.20","11.45","2.27","33.20","37.12","-","8.51","26.40"
"National Aluminium Co Ltd","Metals - Aluminium","41142.39","20.69","22.18","2.86","2.98","11.06","15.13","2.23","38.60","10.83"
"Escorts Kubota Ltd","Tractors","40706.05","38.80","15.21","4.44","4.39","23.70","39.44","0.49","79.32","86.55"
"Housing and Urban Development Corporation Ltd","Specialized Finance","40122.08","18.96","1.40","2.42","5.05","39.86","-","-","24.41","10.57"
"Sona BLW Precision Forgings Ltd","Auto Parts","40015.04","77.36","-3.16","14.29","12.47","43.90","57.76","0.45","30.62","8.83"
"Exide Industries Ltd","Batteries","39920.25","45.54","1.78","3.09","2.37","21.17","26.07","0.43","6.56","10.31"
