Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Bharat Forge Ltd","Iron & Steel","67161.16","70.61","19.76","9.37","4.22","26.05","40.35","0.17","80.02","20.42"
"General Insurance Corporation of India","Insurance","67061.94","10.03","16.11","1.21","1.44","5.32","6.02","-","-3.21","38.11"
"PI Industries Ltd","Diversified Chemicals","66749.94","39.70","18.43","7.65","8.47","28.04","32.79","0.34","36.76","110.70"
"NMDC Ltd","Mining - Iron Ore","66111.54","11.87","-5.13","2.58","2.92","6.82","8.94","-","20.18","19.01"
"Yes Bank Ltd","Private Banks","65894.34","51.27","-16.59","1.56","2.00","22.36","6.83","-","63.39","0.45"
"Berger Paints India Ltd","Paints","64894.04","55.57","9.90","12.04","5.74","33.12","40.79","0.63","35.86","10.02"
"Patanjali Foods Ltd","Packaged Foods & Meats","64275.81","84.01","21.09","6.30","2.01","41.59","36.81","-","-21.58","21.14"
"JSW Infrastructure Ltd","Ports","64225.71","55.56","28.12","7.80","15.93","29.04","35.62","0.18","45.25","5.83"
"Ashok Leyland Ltd","Trucks & Buses","63955.39","25.75","26.11","5.41","1.37","12.41","-","2.27","100.47","8.46"
"Hitachi Energy India Ltd","Heavy Electrical Equipments","63281.99","386.38","83.63","46.54","12.06","172.04","250.81","0.03","74.42","38.64"
"Supreme Industries Ltd","Plastic Products","63258.75","59.14","18.42","12.38","6.14","36.12","44.77","0.60","23.62","84.21"
"Abbott India Ltd","Pharmaceuticals","61993.99","51.61","10.86","16.76","10.12","35.23","51.12","1.41","26.52","565.30"
"Schaeffler India Ltd","Auto Parts","61747.76","68.68","22.11","12.85","8.37","41.77","69.81","0.66","2.25","57.52"
"Voltas Ltd","Home Electronics & Appliances","60020.84","238.18","31.15","10.25","4.71","100.88","78.82","0.30","86.65","7.62"
"Vodafone Idea Ltd","Telecom Services","59244.84","-1.90","-34.11","-0.57","1.36","16.82","2.84","-","12.81","-6.32"
"BSE Ltd","Stock Exchanges & Ratings","58677.53","75.38","52.01","16.99","27.99","47.03","20.65","0.35","252.60","57.48"
"Thermax Limited","Industrial Machinery","57999.22","89.88","11.88","13.06","5.99","51.54","234.53","0.23","43.30","57.30"
"Motilal Oswal Financial Services Ltd","Diversified Financials","57717.52","23.64","65.67","6.58","8.09","19.10","-","0.44","162.05","41.10"
"Jindal Stainless Ltd","Iron & Steel","57545.73","21.21","-1.94","4.00","1.48","12.19","11.94","0.29","5.10","32.95"
"Balkrishna Industries Ltd","Tires & Rubber","57406.51","39.01","25.44","6.48","5.85","21.84","27.56","0.54","39.16","76.12"
"Fertilisers And Chemicals Travancore Ltd","Fertilizers & Agro Chemicals","57013.51","390.02","32.47","41.44","10.84","177.11","204.73","-","-76.15","2.26"
"Mphasis Ltd","IT Services & Consulting","56476.31","36.32","33.44","6.42","4.18","20.69","25.91","-","-5.37","82.40"
"Indian Renewable Energy Development Agency Ltd","Specialized Finance","56451.12","45.08","23.18","6.60","11.37","61.44","-","-","33.09","5.04"
"Aditya Birla Capital Ltd","Diversified Financials","56208.27","16.85","6.44","1.96","1.61","34.46","-","-","-33.01","13.29"
"Phoenix Mills Ltd","Real Estate","56204.55","51.13","1.59","4.54","13.68","26.74","26.00","0.16","-17.70","30.76"
"Sundaram Finance Ltd","Consumer Finance","55836.52","38.88","12.24","5.04","7.66","49.75","-","0.59","8.15","130.31"
"L&T Technology Services Ltd","Software Services","55628.15","42.67","1.32","10.40","5.64","25.22","37.26","0.95","7.44","123.41"
"UCO Bank","Public Banks","55463.69","33.18","-16.19","2.04","2.21","9.28","55.37","0.60","-8.47","1.40"
"MRF Ltd","Tires & Rubber","54389.67","26.13","-0.60","3.26","2.13","11.93","16.48","0.16","170.66","4907.21"
"UNO Minda Ltd","Auto Parts","53982.88","61.32","29.52","10.25","3.78","30.44","55.12","0.21","34.36","15.35"
"Procter & Gamble Hygiene and Health Care Ltd","FMCG - Personal Products","53261.25","78.90","2.84","56.30","12.51","51.14","64.50","-","-0.46","207.95"
"Gujarat Fluorochemicals Ltd","Specialty Chemicals","52866.96","121.54","29.71","8.91","12.05","53.99","84.40","-","-67.27","39.60"
"Tata Communications Ltd","Telecom Services","52806.23","54.53","7.54","29.50","2.48","14.75","16.60","0.90","-46.08","33.98"
"Lloyds Metals And Energy Ltd","Iron & Steel","52584.79","42.31","36.85","18.71","8.00","29.36","30.91","0.10","472.69","24.61"
"Steel Authority of India Ltd","Iron & Steel","52234.62","17.03","-14.78","0.91","0.49","7.44","17.94","-","40.90","7.42"
"Petronet LNG Ltd","Oil & Gas - Storage & Transportation","52035.00","14.25","16.43","2.99","0.98","8.19","10.68","2.88","9.82","24.35"
"United Breweries Ltd","Alcoholic Beverages","52017.75","126.86","6.12","12.43","6.35","67.42","748.46","0.05","34.89","15.51"
"Fsn E-Commerce Ventures Ltd","Wellness Services","52017.23","1612.44","8.33","40.61","8.11","140.03","208068.91","-","67.16","0.11"
"Container Corporation of India Ltd","Logistics","51805.25","41.10","-10.10","4.33","5.62","21.00","37.31","1.35","7.38","20.69"
"IDFC First Bank Ltd","Private Banks","51506.54","17.51","-15.38","1.60","1.42","8.70","4.46","-","11.04","4.30"
